	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
317	19.5	1.5	50783.70719652264	86377.63171554318	64598.241950813295
316	19.5	1.25	49876.59501189914	98176.93492894937	70195.54014912531
321	19.5	2.5	53149.14588524852	77937.88052213876	64683.45195145699
319	19.5	2.0	52207.522096383706	78634.50899160921	61106.16175695462
318	19.5	1.75	55998.66996626872	104566.0949147031	72228.42414728618
325	19.6	1.75	51415.89180253096	84480.03664420792	61854.80201470229
327	19.6	2.25	52702.2445876676	62160.75487450567	57834.15762768842
322	19.6	1.0	49657.29369985267	76441.22702982088	55839.06365094208
324	19.6	1.5	50243.54373514242	88465.31077424512	62120.675669039396
323	19.6	1.25	49686.85640721445	95060.40472009449	65099.570214129824
328	19.6	2.5	54281.95202142549	80627.01241516034	72979.94083088581
326	19.6	2.0	53009.82521030218	101059.28100370885	74602.53474425898
333	19.7	2.0	52168.21893783846	105323.76047023197	76086.50023771169
329	19.7	1.0	49385.501491390205	90656.06424138094	63754.84454885005
335	19.7	2.5	53231.88314143519	78605.41705355952	64866.960921794016
332	19.7	1.75	50590.52789647004	92116.13197253118	66450.20926544486
330	19.7	1.25	48965.61426945411	79669.44464325534	59545.186232949614
331	19.7	1.5	50639.29876781314	95561.43792359823	73468.9719304307
334	19.7	2.25	53142.55835128948	86028.13537712459	59199.83608272179
341	19.8	2.25	54186.8359819937	78464.39886140294	62311.12769915193
342	19.8	2.5	54376.494146577825	80956.81743174348	72988.94698508695
339	19.8	1.75	51857.06581537233	105954.91976634803	78493.02854761053
336	19.8	1.0	49019.835752723455	89410.79520513999	61918.58204113114
340	19.8	2.0	52878.73909578315	95280.57231412461	68626.24752549367
337	19.8	1.25	50725.756832858395	86622.49460142109	64418.599195686045
338	19.8	1.5	50882.970317164785	102112.41543979946	66161.39746588525
349	19.9	2.5	53065.34558208682	81551.99066108553	66177.56114757877
344	19.9	1.25	50195.943179277725	93164.42036165948	64479.526241953274
343	19.9	1.0	49268.83955613	90728.76085616073	62100.09684104075
345	19.9	1.5	51396.592373818305	86496.19916326224	63220.95486613572
347	19.9	2.0	51027.56984934692	98587.45777779895	64065.78556717886
348	19.9	2.25	53337.16784516891	89575.64612803134	64171.71228075944
346	19.9	1.75	52764.553583536086	69799.77158485081	57567.49125383691
352	20.0	1.5	50498.94364667109	91908.83061019953	65717.90837381089
355	20.0	2.25	54922.96204651624	95037.12278382733	68067.99544971435
354	20.0	2.0	52995.335453493586	105225.31937633194	74042.99298933358
356	20.0	2.5	53420.35414264586	79421.66415833446	65126.78950404919
350	20.0	1.0	50003.15841454395	104138.85255520846	69304.59273675748
353	20.0	1.75	51522.946359720394	90265.06948795075	70330.28168906698
351	20.0	1.25	49953.16955625591	92068.7788232516	63823.54930636096
362	20.1	2.25	62818.459171581526	110482.32983522394	82710.88230643622
357	20.1	1.0	50142.51495940943	87464.20784031462	61122.2671770834
361	20.1	2.0	53353.75298815806	104095.42079607207	66949.99781637831
360	20.1	1.75	53319.01249151046	101918.90277221284	70992.15547329372
359	20.1	1.5	50668.98557513255	77100.63014894446	62208.900672900745
358	20.1	1.25	50888.761862575135	77674.6578904523	59489.8868799713
363	20.1	2.5	54509.29169434165	81727.59203755156	72123.26104228006
368	20.2	2.0	52352.662981433125	91302.91917133192	71944.90403224008
365	20.2	1.25	49802.298096833656	97910.71252246365	66812.59743246445
364	20.2	1.0	49679.34150875058	98743.24366484808	65633.23811420021
367	20.2	1.75	50622.18618647494	95671.40834555963	65381.507004986306
369	20.2	2.25	53060.223388599006	99450.42151293563	75620.16827894698
366	20.2	1.5	51674.51906715107	103674.45627690369	70826.52072622642
373	20.3	1.75	52220.59464048623	98045.49832093157	67099.63410085252
375	20.3	2.25	52443.189584838736	80433.59595005977	64468.82876792792
372	20.3	1.5	51907.2677649667	98733.88588770416	62981.47277452596
370	20.3	1.0	50210.688162809536	95914.59809305181	65031.83277458325
371	20.3	1.25	49523.896133173104	93044.19608837826	64108.8295789576
374	20.3	2.0	54659.075137637294	104181.22673601846	70931.45475498286
381	20.4	2.25	53598.15948641358	82554.77637487702	70049.73122528169
376	20.4	1.0	50124.124266821804	90238.78228430911	63345.54717417419
377	20.4	1.25	49681.560295984396	90038.27935960433	63490.72504800721
379	20.4	1.75	53092.03899129907	120957.96526044514	83745.86976740802
380	20.4	2.0	51409.29250878102	88536.40680614494	64619.32205175229
378	20.4	1.5	51278.97728467339	88437.8084431323	61526.51248115753
384	20.5	1.5	51923.586911687904	98879.57139865236	65917.69136857052
387	20.5	2.25	52552.36432862748	85757.970226932	66847.26225834842
386	20.5	2.0	53194.56231312677	102527.63834893747	70217.30830466734
383	20.5	1.25	50725.38450594591	85262.55476486798	60309.51370701568
382	20.5	1.0	49706.938174072835	94121.65890265406	62549.76116239249
385	20.5	1.75	51903.71360514796	89398.52225186925	65648.5186562558
391	20.6	1.75	51743.681670490936	93431.52645170027	66570.63315111848
390	20.6	1.5	51848.70911644786	102008.198027263	70389.50341882162
392	20.6	2.0	53380.99662839214	85536.38480914495	60475.29197005846
388	20.6	1.0	50315.50628883224	100687.39988370525	70717.80865725056
389	20.6	1.25	53236.14765643381	107977.3623070214	76998.59061703413
393	20.6	2.25	53511.69277272446	95664.85928292284	61669.41273218369
397	20.7	1.75	51580.24671325759	88965.45185722632	61386.81816854093
399	20.7	2.25	52968.78822957636	88272.2029195114	63846.730516091215
396	20.7	1.5	51146.35886903383	77251.86310699821	62520.34300148257
394	20.7	1.0	50863.25729428291	80224.14072430723	58385.80803603053
395	20.7	1.25	50847.12193798752	101263.81338627856	71604.47890242252
398	20.7	2.0	52838.09047289392	107036.33795362728	68597.10632154216
405	20.8	2.25	51803.8771644839	81962.61738365462	62505.50480777351
402	20.8	1.5	52628.571305415535	99843.62254415418	72598.23601760023
403	20.8	1.75	52634.40787310954	73852.54834101316	60383.56406641591
401	20.8	1.25	51223.612469388216	89924.03412474268	65047.438539249815
404	20.8	2.0	52040.23787003875	100968.26922534914	71712.89021855297
400	20.8	1.0	49978.179361879455	92523.3014778113	66253.682076537
410	20.9	2.0	53426.49568477287	108520.16366919302	69124.86094782838
