	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
397	20.6	2.25	54285.0344846619	110160.29165690155	74800.11531361463
398	20.6	2.5	62471.163634810284	127751.81688772306	91089.4049869653
394	20.6	1.5	50738.50280117974	102242.30282019897	66856.95277386444
393	20.6	1.25	51048.607606729354	96709.00156187685	64446.92926202133
396	20.6	2.0	65786.18600988132	113284.82219590277	81673.26261776967
395	20.6	1.75	50888.781724611596	94040.66603742976	68351.46154005648
405	20.7	2.5	53948.613631906024	85097.15826698532	62735.45354867596
399	20.7	1.0	49272.23295192132	96928.31958082416	64120.1938478113
401	20.7	1.5	52490.591326477894	93471.66546164296	69322.81462617773
402	20.7	1.75	52900.52547383943	107113.73971767742	70137.82281111003
404	20.7	2.25	53880.256834605454	104393.43757480179	69358.50252843695
403	20.7	2.0	52740.3525482487	103806.57699959887	69459.93374523151
400	20.7	1.25	49962.07830662855	92103.52936323511	60436.08569973565
407	20.8	1.25	50233.01086633662	98456.71579413782	67132.31196420603
